Site,Treatment,Plot,Date_field_collected,Date_data_entry,Latitude,Longitude,Comments
GNRB,RES,1,2021-04-27,2021-04-27,N 43° 45.431',W 79° 15.053',took five soil samples by KN. Data entry by GX
GNRB,RES,3,2021-04-27,2021-04-27,N 43° 45.440',W 79° 15.042',took five soil samples by KN. Data entry by GX
GNRB,RES,5,2021-04-27,2021-04-27,N 43° 45.447',W 79° 15.027',took five soil samples by KN. There is a slight downhill slope north of this plot GX. Data entry by GX
GNRB,RES,11,2021-04-27,2021-04-27,N 43° 45.440',W 79° 15.062',took five soil samples by KN. Data entry by GX.
GNRB,RES,13,2021-04-27,2021-04-27,N 43° 45.452',W 79° 15.054',took five soil samples by KN. Data entry by GX. 
GNRB,RES,15,2021-04-27,2021-04-27,N 43° 45.457',W 79° 15.042',took five soil samples by KN. Data entry by GX. 
GNRB,RES,21,2021-04-27,2021-04-27,N 43° 45.449',W 79° 15.074',took five soil samples by KN). Hydro tower north of this plot GX. Data entry by GX
GNRB,RES,23,2021-04-27,2021-04-27,N 43° 45.453',W 79° 15.061',took five soil samples by KN. Data entry by GX. 
GNRB,RES,25,2021-04-27,2021-04-27,N 43° 45.463',W 79° 15.050',took five soil samples by KN. Data entry by GX. 
