Site,Treatment,Plot,Date_field_collected,Date_data_entry,Latitude,Longitude,Comments
BNSH,RES,1,2021-05-03,2021-05-03,N 43° 45.706',W 79° 14.582',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,3,2021-05-03,2021-05-03,N 43° 45.720',W 79° 14.582',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,5,2021-05-03,2021-05-03,N 43° 45.730',W 79° 14.590',"took five soil samples and geo-tagged location (by GX). Data entered by GX;;,ku"
BNSH,RES,11,2021-05-04,2021-05-04,N 43° 45.702',W 79° 14.596',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,13,2021-05-04,2021-05-04,N 43° 45.713',W 79° 14.603',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,15,2021-05-04,2021-05-04,N 43° 45.724',W 79° 14.603',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,21,2021-05-04,2021-05-04,N 43° 45.698',W 79° 14.611',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,23,2021-05-04,2021-05-04,N 43° 45.708',W 79° 14.618',took five soil samples and geo-tagged location (by GX). Data entered by GX
BNSH,RES,25,2021-05-04,2021-05-04,N 43° 45.721',W 79° 14.623',took five soil samples and geo-tagged location (by GX). Data entered by GX
