Site,Treatment,Plot,Date_field_collected,Date_data_entry,Latitude,Longitude,Comments
DAVE,RES,1,2021-05-06,2021-05-06,N 43° 46.024',W 79° 14.122',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,3,2021-05-06,2021-05-06,N 43° 45.999',W 79° 14.111',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,5,2021-05-06,2021-05-06,N 43° 45.988',W 79° 14.100',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,11,2021-05-06,2021-05-06,N 43° 45.998',W 79° 14.085',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,13,2021-05-07,2021-05-07,N 43° 46.016',W 79° 14.096',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,15,2021-05-07,2021-05-07,N 43° 46.015',W 79° 14.106',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,21,2021-05-07,2021-05-07,N 43° 46.023',W 79° 14.091',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,23,2021-05-07,2021-05-07,N 43° 46.012',W 79° 14.081',took five soil samples and geo-tagged location by GX. Data entry by GX
DAVE,RES,25,2021-05-07,2021-05-07,N 43° 46.005',W 79° 14.074',took five soil samples and geo-tagged location by GX. Data entry by GX
