Site,Treatment,Plot,Date_field_collected,Date_data_entry,Latitude,Longitude,Comments
TIMH,TIL,1,2021-05-19,2021-05-22,N 43° 44.073',W 79° 17.444',Data entry by AS. Five soil samples by GX 
TIMH,TIL,3,2021-05-19,2021-05-22,N 43° 44.090',W 79° 17.450',Data entry by AS. Five soil samples by GX 
TIMH,TIL,5,2021-05-19,2021-05-22,N 43° 44.103',W 79° 17.444',Data entry by AS. Five soil samples by GX 
TIMH,TIL,11,2021-05-19,2021-05-22,N 43° 44.073',W 79° 17.458',Data entry by AS. Five soil samples by GX 
TIMH,TIL,13,2021-05-19,2021-05-22,N 43° 44.084',W 79° 17.463',Data entry by AS. Five soil samples by GX 
TIMH,TIL,15,2021-05-19,2021-05-22,N 43° 44.094',W 79° 17.467',Data entry by AS. Five soil samples by GX 
TIMH,TIL,21,2021-05-19,2021-05-22,N 43° 44.066',W 79° 17.472',Data entry by AS. Five soil samples by GX 
TIMH,TIL,23,2021-05-19,2021-05-22,N 43° 44.078',W 79° 17.479',Data entry by AS. Five soil samples by GX 
TIMH,TIL,25,2021-05-19,2021-05-22,N 43° 44.088',W 79° 17.487',Data entry by AS. Five soil samples by GX 
